,pl_name,hostname,pl_rade,pl_eqt,pl_orbsmax,st_teff,spectral_class,detectability,priority_score,pred_priority,uncertainty,scientific_gain,pred_str
2241,Kepler-82 d,Kepler-82,1.77,1253.0,0.034,5428.0,G,0.000291096959854,0.6252518464380401,0.6258235707385281,0.12555780913773204,3.654949652592258e-05,0.626 +/- 0.126
2242,Kepler-933 b,Kepler-933,2.46,602.0,0.1041,5346.0,G,0.0006051029268769,0.630620097182939,0.625815981879043,0.02443391773568985,1.4785035136935326e-05,0.626 +/- 0.024
2243,Kepler-813 b,Kepler-813,2.14,817.0,0.1439,5743.0,G,0.0005232576300993,0.625704151830416,0.6254931175794917,0.016179543319163697,8.466069493274557e-06,0.625 +/- 0.016
2244,Kepler-906 b,Kepler-906,2.11,537.0,0.22363,6035.0,F,0.0009021456113678,0.6267053435625415,0.625482640538519,0.020463787050471707,1.8461315679548265e-05,0.625 +/- 0.020
2245,Kepler-1255 b,Kepler-1255,2.32,694.0,0.2226,6018.0,F,0.0003536886566029,0.6242473003923479,0.6254573951295818,0.02309757690108008,8.169350944925187e-06,0.625 +/- 0.023
2246,Kepler-846 b,Kepler-846,2.48,624.0,0.1399,5579.0,G,0.0003887229118437,0.6260484194459047,0.6254438519577938,0.012988649543996133,5.048985671659522e-06,0.625 +/- 0.013
2247,Kepler-738 b,Kepler-738,2.5,530.0,0.1552,5327.0,G,0.0006108927645823,0.6324742406140074,0.6252514216631412,0.04006728729646375,2.4476815905850007e-05,0.625 +/- 0.040
2248,Kepler-499 b,Kepler-499,2.17,844.0,0.0598,5312.0,G,0.001917982648658,0.6326391748027876,0.6252016661532693,0.026791407374180815,5.138545447680679e-05,0.625 +/- 0.027
2249,Kepler-19 b,Kepler-19,2.209,851.0,0.0846,5541.0,G,0.0395290219257953,0.5942105774528531,0.6251818773106367,0.08625470387814849,0.0034095640808023122,0.625 +/- 0.086
2250,WD 1856+534 b,WD 1856+534,10.4,163.0,0.0204,4710.0,K,0.4436825257181971,0.5809076402623481,0.6251654079643877,0.21802624737404347,0.09673443610777605,0.625 +/- 0.218
2251,Kepler-1195 b,Kepler-1195,2.08,702.0,0.0726,4965.0,K,0.0005024726703816,0.6289780349978522,0.6251064244431943,0.0352170628991983,1.769561163795694e-05,0.625 +/- 0.035
2252,Kepler-496 b,Kepler-496,2.32,747.0,0.0747,5293.0,G,0.0015367632186739,0.6284184837411829,0.6250872932671037,0.01695172300748343,2.6050784411048637e-05,0.625 +/- 0.017
2253,Kepler-971 b,Kepler-971,2.13,1087.0,0.08679,5431.0,G,0.0118797840837202,0.6313952269065755,0.6250737417284524,0.03101907251443347,0.0003684998839487295,0.625 +/- 0.031
2254,Kepler-845 b,Kepler-845,2.04,1361.0,0.01668,4913.0,K,0.0045140586563961,0.6168230637827196,0.6249004283745188,0.042742853027704406,0.00019294374570877533,0.625 +/- 0.043
2255,Kepler-659 b,Kepler-659,2.5,513.0,0.1204,4870.0,K,0.0009086055222355,0.6254089395989034,0.6247265567075488,0.04476497287691166,4.067370155868431e-05,0.625 +/- 0.045
2256,Kepler-751 b,Kepler-751,2.46,679.0,0.1263,5387.0,G,0.0009546462641252,0.6229240027380467,0.6244761744487438,0.015561881122271462,1.4856091676136925e-05,0.624 +/- 0.016
2257,Kepler-1105 b,Kepler-1105,2.01,729.0,0.0471,4299.0,K,0.0132119163749022,0.6078718419566306,0.6244424566025043,0.04926236121657856,0.0006508501968236613,0.624 +/- 0.049
2258,Kepler-195 b,Kepler-195,2.03,751.0,0.077,5329.0,G,0.0012135722283147,0.621619053981426,0.624246065956087,0.02746393076474367,3.332946365645062e-05,0.624 +/- 0.027
2259,HD 224018 d,HD 224018,2.4,411.0,0.53,5784.0,G,0.1044786218267914,0.6730808343509581,0.6241456484911164,0.19077367812612667,0.019931770971445616,0.624 +/- 0.191
2260,Kepler-964 b,Kepler-964,2.12,652.0,0.1073,5427.0,G,0.0044657672765461,0.6234766008298808,0.6239900647615695,0.019133483546148668,8.544568470672396e-05,0.624 +/- 0.019
2261,Kepler-1272 b,Kepler-1272,2.37,542.0,0.2705,5926.0,G,0.0005515944394049,0.6363618443792295,0.6239894021249811,0.03186992937658026,1.7579275828348543e-05,0.624 +/- 0.032
2262,Kepler-1396 b,Kepler-1396,2.07,786.0,0.1406,6195.0,F,0.0002368254095908,0.623081065155064,0.62395091952139,0.022434815070915236,5.313134268263353e-06,0.624 +/- 0.022
2263,Kepler-80 f,Kepler-80,1.21,1054.0,0.0175,4540.0,K,0.0078911968007639,0.5739655263754224,0.6239489544773927,0.1060764281699316,0.0008370699706110258,0.624 +/- 0.106
2264,Kepler-1374 b,Kepler-1374,2.29,737.0,0.0918,5323.0,G,0.0004728592671488,0.6249478194840298,0.6237745539200493,0.011024657513848088,5.213111472564718e-06,0.624 +/- 0.011
2265,Kepler-1432 b,Kepler-1432,2.22,709.0,0.1696,6031.0,F,0.0002140629847409,0.6280487487839157,0.6235141110735627,0.023722028211994216,5.078008163167317e-06,0.624 +/- 0.024
2266,Kepler-292 d,Kepler-292,2.23,808.0,0.068,5299.0,G,0.0004197841675197,0.6285097352480276,0.6234287408395521,0.01923368435428978,8.073996175002214e-06,0.623 +/- 0.019
2267,WASP-107 b,WASP-107,10.53646,736.0,0.055,4425.0,K,0.6660392073058686,0.6692415122877445,0.6232405469545169,0.1153543377322147,0.07683051166245773,0.623 +/- 0.115
2268,Kepler-411 b,Kepler-411,2.401,1138.0,0.0375,4974.0,K,0.069326681011063,0.6146240200307734,0.6232259604064306,0.08868625065952926,0.006148323409540361,0.623 +/- 0.089
2269,Kepler-1388 c,Kepler-1388,2.26,566.0,0.0519,4098.0,K,0.0039549366105382,0.6499267283286722,0.6231849659866827,0.04427113764456185,0.00017508954306065354,0.623 +/- 0.044
2270,K2-180 b,K2-180,2.46597575,797.5,0.0756,5365.0,G,0.044325858501326,0.6095964054163024,0.623127560336798,0.06561916512803415,0.002908625828440387,0.623 +/- 0.066
2271,Kepler-365 b,Kepler-365,2.04,865.0,0.098,6012.0,F,0.0002948753201474,0.620370213238926,0.6231107231555894,0.032030723712850984,9.445069909379852e-06,0.623 +/- 0.032
2272,WASP-85 A b,WASP-85 A,13.89916,1452.0,0.039,6112.0,F,0.5785661652877646,0.6657856615192898,0.6230925917156491,0.05430895794345225,0.031421325538117655,0.623 +/- 0.054
2273,Kepler-930 b,Kepler-930,2.13,561.0,0.34593,6335.0,F,0.0005360160803877,0.6322780102113682,0.623023423009847,0.06690836424712157,3.586395914889463e-05,0.623 +/- 0.067
2274,Kepler-1176 b,Kepler-1176,2.45,595.0,0.1589,5844.0,G,0.0004887495469386,0.6261464944655377,0.6227017472821039,0.025133601425565137,1.2284036309680312e-05,0.623 +/- 0.025
2275,Kepler-1705 b,Kepler-1705,2.03,789.0,0.08,6312.0,F,0.0001497020756367,0.6058934055518174,0.6224771377053927,0.055952861013111754,8.376259431474618e-06,0.622 +/- 0.056
2276,Kepler-114 c,Kepler-114,1.6,507.0,0.06482,4660.0,K,0.0238442685752677,0.593497312134738,0.6223038741246005,0.10559653323181754,0.0025178720989966386,0.622 +/- 0.106
2277,Kepler-397 b,Kepler-397,2.46,539.0,0.144,5307.0,G,0.0003369838306689,0.6197795474374749,0.6220444233360567,0.028770614883104523,9.695232014008228e-06,0.622 +/- 0.029
2278,TOI-201 b,TOI-201,11.4,759.0,0.303,6423.0,F,0.598432897845505,0.6236162282788243,0.6220033773048042,0.04745015513701252,0.028395733841861177,0.622 +/- 0.047
2279,HD 103949 b,HD 103949,3.35,276.8339429991837,0.439,4792.0,K,0.2301624754791474,0.6670626229099855,0.621683166009079,0.13583226635787224,0.03126349067487079,0.622 +/- 0.136
